feature,role,dtype,action,reason
CustomerID,identifier,int64,drop,编号只用于定位用户，不参与规律学习
Churn,target,int64,separate,流失结果需要从特征中单独拿出
Tenure,numeric_feature,float64,numeric_pipeline,数值特征进入填补与统一尺度步骤
PreferredLoginDevice,categorical_feature,object,one_hot,文字类别需转换为模型可读取的数值列
CityTier,numeric_feature,int64,numeric_pipeline,数值特征进入填补与统一尺度步骤
WarehouseToHome,numeric_feature,float64,numeric_pipeline,数值特征进入填补与统一尺度步骤
PreferredPaymentMode,categorical_feature,object,one_hot,文字类别需转换为模型可读取的数值列
Gender,categorical_feature,object,one_hot,文字类别需转换为模型可读取的数值列
HourSpendOnApp,numeric_feature,float64,numeric_pipeline,数值特征进入填补与统一尺度步骤
NumberOfDeviceRegistered,numeric_feature,int64,numeric_pipeline,数值特征进入填补与统一尺度步骤
PreferedOrderCat,categorical_feature,object,one_hot,文字类别需转换为模型可读取的数值列
SatisfactionScore,numeric_feature,int64,numeric_pipeline,数值特征进入填补与统一尺度步骤
MaritalStatus,categorical_feature,object,one_hot,文字类别需转换为模型可读取的数值列
NumberOfAddress,numeric_feature,int64,numeric_pipeline,数值特征进入填补与统一尺度步骤
Complain,numeric_feature,int64,numeric_pipeline,数值特征进入填补与统一尺度步骤
OrderAmountHikeFromlastYear,numeric_feature,float64,numeric_pipeline,数值特征进入填补与统一尺度步骤
CouponUsed,numeric_feature,float64,numeric_pipeline,数值特征进入填补与统一尺度步骤
OrderCount,numeric_feature,float64,numeric_pipeline,数值特征进入填补与统一尺度步骤
DaySinceLastOrder,numeric_feature,float64,numeric_pipeline,数值特征进入填补与统一尺度步骤
CashbackAmount,numeric_feature,float64,numeric_pipeline,数值特征进入填补与统一尺度步骤
TenureGroup,derived_feature,object,candidate,由原始字段转换得到，可作为补充线索
IsMobileLogin,derived_feature,int64,candidate,由原始字段转换得到，可作为补充线索
