feature,importance
num__Tenure,0.2740568696090114
cat__TenureGroup_0-6个月,0.12847914026831617
num__Complain,0.0817264943343786
num__CashbackAmount,0.06772949066431895
num__DaySinceLastOrder,0.04822082390848489
num__NumberOfAddress,0.038736951206053166
num__SatisfactionScore,0.031896407596321515
num__WarehouseToHome,0.02974215381777781
cat__PreferedOrderCat_Mobile Phone,0.028943616657662725
cat__TenureGroup_13-24个月,0.026077287024305635
cat__TenureGroup_25-36个月,0.024747474624636865
cat__MaritalStatus_Single,0.024089981493927787
num__CityTier,0.022688011132657504
num__OrderAmountHikeFromlastYear,0.021323973511366064
cat__PreferedOrderCat_Laptop & Accessory,0.01982899348497491
num__OrderCount,0.014911559578702858
cat__TenureGroup_7-12个月,0.014409543097707428
cat__MaritalStatus_Married,0.01315682152252633
num__CouponUsed,0.01312097674707248
num__NumberOfDeviceRegistered,0.012325198732245309
cat__PreferedOrderCat_Fashion,0.008086401353909133
cat__PreferredPaymentMode_Credit Card,0.007708712861448922
cat__Gender_Female,0.006278064125709729
num__IsMobileLogin,0.005633542875904438
cat__Gender_Male,0.0052988018148451615
cat__PreferredPaymentMode_Debit Card,0.005198065535933038
cat__PreferredLoginDevice_Computer,0.0048444208622245135
cat__PreferredPaymentMode_E wallet,0.0044227776367490555
cat__PreferredLoginDevice_Mobile Phone,0.0043952639660132286
num__HourSpendOnApp,0.0034689446876840675
cat__PreferredPaymentMode_Cash on Delivery,0.003253944082100328
cat__PreferedOrderCat_Grocery,0.001680677144110396
cat__MaritalStatus_Divorced,0.0016185531537791802
cat__PreferredPaymentMode_UPI,0.0010792974559178704
cat__PreferedOrderCat_Others,0.0008207634312224533
cat__TenureGroup_36个月以上,0.0
