步骤,处理规则,处理前行数,处理后行数,影响行数
删除完全重复行,移除完全一致的重复记录,5630,5630,0
填充缺失值: Tenure,中位数填充，不使用Churn分组,5630,5630,264
填充缺失值: WarehouseToHome,中位数填充，不使用Churn分组,5630,5630,251
填充缺失值: HourSpendOnApp,中位数填充，不使用Churn分组,5630,5630,255
填充缺失值: OrderAmountHikeFromlastYear,中位数填充，不使用Churn分组,5630,5630,265
填充缺失值: CouponUsed,中位数填充，不使用Churn分组,5630,5630,256
填充缺失值: OrderCount,中位数填充，不使用Churn分组,5630,5630,258
填充缺失值: DaySinceLastOrder,中位数填充，不使用Churn分组,5630,5630,307
类别映射: PreferredLoginDevice Phone → Mobile Phone,统一同类别命名,5630,5630,1231
类别映射: PreferredPaymentMode COD → Cash on Delivery,统一同类别命名,5630,5630,365
类别映射: PreferredPaymentMode CC → Credit Card,统一同类别命名,5630,5630,273
类别映射: PreferedOrderCat Mobile → Mobile Phone,统一同类别命名,5630,5630,809
