TenureGroup,Complain,用户数,流失人数,流失率,平均订单数,样本提示,流失率95%CI下限,流失率95%CI上限,严格样本提示
0-3个月,1,522,345,0.6609195402298851,2.5478927203065136,可观察,0.6192642021372756,0.7002236436322489,样本充足
0-3个月,0,1038,308,0.29672447013487474,2.2013487475915223,可观察,0.2697246401487532,0.3252233826600883,样本充足
4-6个月,1,137,30,0.21897810218978103,3.0291970802919708,可观察,0.15791420021002814,0.29537232877004604,样本充足
7-12个月,1,406,81,0.19950738916256158,2.667487684729064,可观察,0.16353096547973123,0.24111707415314165,样本充足
13-24个月,1,414,52,0.12560386473429952,3.345410628019324,可观察,0.09708365485896334,0.16100840682182674,样本充足
7-12个月,0,1178,75,0.0636672325976231,2.775042444821732,可观察,0.05109314358169963,0.07907793856670335,样本充足
13-24个月,0,1053,43,0.04083570750237417,3.8461538461538463,可观察,0.03045647256072801,0.054553050152988024,样本充足
4-6个月,0,453,14,0.03090507726269316,2.9514348785871967,可观察,0.01849702267367223,0.05120240925196677,样本充足
25个月及以上,0,304,0,0.0,3.7467105263157894,可观察,0.0,0.012479145118788362,样本充足
25个月及以上,1,125,0,0.0,3.056,可观察,0.0,0.0298164567965626,样本充足
