分析主题,分组字段,分组值,指标,数值,用户数
用户生命周期,TenureGroup,0-3个月,流失率,0.4185897435897436,1560
用户生命周期,TenureGroup,4-6个月,流失率,0.07457627118644068,590
用户生命周期,TenureGroup,7-12个月,流失率,0.09848484848484848,1584
用户生命周期,TenureGroup,13-24个月,流失率,0.06475800954328562,1467
用户生命周期,TenureGroup,25个月及以上,流失率,0.0,429
用户生命周期,TenureGroup,0-3个月,平均订单数,2.3173076923076925,1560
用户生命周期,TenureGroup,4-6个月,平均订单数,2.9694915254237286,590
用户生命周期,TenureGroup,7-12个月,平均订单数,2.7474747474747474,1584
用户生命周期,TenureGroup,13-24个月,平均订单数,3.704839809134288,1467
用户生命周期,TenureGroup,25个月及以上,平均订单数,3.5454545454545454,429
用户生命周期,TenureGroup,0-3个月,平均返现,155.66423717948717,1560
用户生命周期,TenureGroup,4-6个月,平均返现,169.90599999999998,590
用户生命周期,TenureGroup,7-12个月,平均返现,163.3139393939394,1584
用户生命周期,TenureGroup,13-24个月,平均返现,204.91599182004092,1467
用户生命周期,TenureGroup,25个月及以上,平均返现,222.3400233100233,429
订单活跃度,OrderActivityGroup,低活跃,流失率,0.1745166088249876,4034
订单活跃度,OrderActivityGroup,中活跃,流失率,0.18328840970350405,371
订单活跃度,OrderActivityGroup,高活跃,流失率,0.1436734693877551,1225
订单活跃度,OrderActivityGroup,低活跃,平均订单数,1.565939514129896,4034
订单活跃度,OrderActivityGroup,中活跃,平均订单数,3.0,371
订单活跃度,OrderActivityGroup,高活跃,平均订单数,7.546938775510204,1225
订单活跃度,OrderActivityGroup,低活跃,平均优惠券数,1.1038671294000992,4034
订单活跃度,OrderActivityGroup,中活跃,平均优惠券数,1.908355795148248,371
订单活跃度,OrderActivityGroup,高活跃,平均优惠券数,3.6775510204081634,1225
订单活跃度,OrderActivityGroup,低活跃,平均返现,170.77332672285573,4034
订单活跃度,OrderActivityGroup,中活跃,平均返现,174.6012129380054,371
订单活跃度,OrderActivityGroup,高活跃,平均返现,199.25633469387756,1225
